Transaction Generations	Total bills	Avg bill count per person	Mean bill size	Avg number of bills used per transaction	Avg transaction volume
0	384285	46.9097900390625	20.66998024903392	12.29200182121718	948.514038549097
1	357305	43.6163330078125	22.230764640853053	10.265131879859736	944.2886110687605
2	330557	40.3511962890625	24.029632892360468	8.785227788708944	924.8348721053428
3	308742	37.688232421875	25.727511514468393	7.284012826385708	933.9700717666819
4	288544	35.22265625	27.528430187423755	6.355625374027529	917.5936564931179
5	271779	33.1761474609375	29.226553044937244	6.351832302820087	954.4643341879053
6	257560	31.4404296875	30.84005031837242	4.874280521054226	942.3736746440472
7	246673	30.1114501953125	32.20118683439209	4.162220508866615	911.2956052428682
8	236807	28.9071044921875	33.54277263763318	3.8650853603263333	890.3822329657048
9	228465	27.8887939453125	34.76752833037883	3.519407638347623	925.1847233047545
